Um Sonho de Liberdade;0;
O Poderoso Chefão;0;
Batman O Cavaleiro das Trevas;0;
A Lista de Schindler;0;
Pulp Fiction;0;
O Senhor dos Anéis O Retorno do Rei;0;
Três Homens em Conflito;0;
Clube da Luta;0;
O Senhor dos Anéis: A Sociedade do Anel;0;
A Origem;0;
Matrix;0;
O Senhor dos Anéis As Duas Torres;0;
Os Sete Samurais;0;
Cidade de Deus;0;
Os Sete Crimes Capitais;0;
O Silêncio dos Inocentes;0;
A Vida É Bela;0;
O Resgate do Soldado Ryan;0;
Interestelar;0;
Intocáveis;0;
À Espera de um Milagre;0;
Janela Indiscreta;0;
O Pianista;0;
De Volta para o Futuro;0;
Gladiador;0;
O Grande Truque;0;
O Rei Leão;0;
Django Livre;0;
O Iluminado;0;
Batman O Cavaleiro das Trevas Ressurge;0;
Coração Valente;0;
Laranja Mecânica;0;
Pacto de Sangue;0;
O Sol É Para Todos;0;
Amadeus;0;
Golpe de Mestre;0;
Toy Story;0;
Bastardos Inglórios;0;
The Witcher 3 Wild Hunt;1;
Grand Theft Auto;1;
Red Dead Redemption;1;
God of War;1;
The Last of Us;1;
The Legend of Zelda;1;
Minecraft;1;
Assassins Creed;1;
Batman Arkham City;1;
Batman Arkham Asylum;1;
Batman Arkham Knight;1;
Dark Souls;1;
Far Cry;1;
Cyberpunk 2077;1;
Dead Island;1;
Hollow Knight;1;
Resident Evil;1;
The Witcher Assassins of Kings;1;
BioShock;1;
The Elder Scrolls Skyrim;1;
Final Fantasy;1;
Mortal Kombat;1;
Tomb Raider;1;
Diablo;1;
Half Life;1;
Shadow of Mordor;1;
Left 4 Dead;1;
Titan Quest;1;
Sleeping Dogs;1;
Deus Ex;1;
Afeganistão;2;
África do Sul;2;
Alemanha;2;
Angola;2;
Arábia Saudita;2;
Argélia;2;
Argentina;2;
Armênia;2;
Austrália;2;
Áustria;2;
Azerbaijão;2;
Bahamas;2;
Bélgica;2;
Bolívia;2;
Brasil;2;
Camarões;2;
Cazaquistão;2;
Chile;2;
China;2;
Colômbia;2;
Coreia do Norte;2;
Coreia do Sul;2;
Cuba;2;
Dinamarca;2;
Egito;2;
Equador;2;
Espanha;2;
Estados Unidos da América;2;
Filipinas;2;
França;2;
Grécia;2;
Guatemala;2;
Holanda;2;
Índia;2;
Iraque;2;
Irlanda;2;
Israel;2;
Itália;2;
Japão;2;
Líbano;2;
Luxemburgo;2;
Malásia;2;
Marrocos;2;
México;2;
Moçambique;2;
Nigéria;2;
Noruega;2;
Omã;2;
País de Gales;2;
Paraguai;2;
Polônia;2;
Portugal;2;
Quênia;2;
Reino Unido;2;
República Dominicana;2;
Romênia;2;
Rússia;2;
Salomão;2;
Senegal;2;
Sérvia;2;
Suíça;2;
Togo;2;
Tunísia;2;
Turquia;2;
Ucrânia;2;
Uruguai;2;
Venezuela;2;
Zimbábue;2;
